SetCardId,SetAxisId,ActAxisId,Ratio,AxisName,AxisType,TaskId,IsFeedBack,IsPosFollow
5,0,0,40,撕膜1X,Left_Right,0,1,-1
5,1,1,40,撕膜1Y,Left_Right,0,1,-1
5,2,2,40,撕膜1Z,Up_Down,0,1,1
5,3,3,40,撕膜1R1,Front_Back,1,1,-1
5,4,4,40,撕膜1R2,Front_Back,1,1,-1
5,5,5,40,撕膜2X,Left_Right,4,1,1
5,6,6,40,撕膜2Y,Left_Right,4,1,-1
5,7,7,40,撕膜2Z,Up_Down,4,1,-1
5,8,8,40,撕膜2R1,Front_Back,5,1,1
5,9,9,40,撕膜2R2,Front_Back,5,1,1
5,10,10,40,流线1进料A,Front_Back,2,0,-1
5,11,11,40,流线1进料B,Front_Back,2,0,-1
5,12,12,40,流线1出料C,Front_Back,3,0,-1
5,13,13,40,流线1出料D,Front_Back,3,0,-1
5,14,14,40,流线2进料A,Front_Back,6,0,-1
5,15,15,40,流线2进料B,Front_Back,6,0,-1
5,16,16,40,流线2出料C,Front_Back,7,0,-1
5,17,17,40,流线2出料D,Front_Back,7,0,-1
