SetCardId,SetId,ActId,Chinese,Type,Property,TaskId,ProFaceSignal,AxisDebug
5,0,16,启动按钮,DI,Start,0,,
5,1,17,复位按钮,DI,Rest,0,,
5,2,18,停止按钮,DI,Stop,0,,
5,3,19,急停按钮,DI,Estop,0,,
5,4,20,输入备用1,DI,Normal,0,,
5,5,21,输入备用2,DI,Normal,0,,
5,6,22,总气压1,DI,Normal,0,,
5,7,23,总气压2,DI,Normal,0,,
5,8,24,安全门1,DI,Door,0,,
5,9,25,安全门2,DI,Door,0,,
5,10,26,安全门3预留,DI,Door,0,,
5,11,27,安全门4预留,DI,Door,0,,
5,12,28,输入备用3,DI,Normal,0,,
5,13,29,L1入口检测,DI,Normal,0,,
5,14,30,L1待料检测,DI,Normal,0,,
5,15,31,L1待料阻挡1_伸,DI,Normal,0,,
5,16,32,L1待料阻挡1_缩,DI,Normal,1,,
5,17,33,L1撕膜工位1阻挡检测,DI,Normal,1,,
5,18,34,L1撕膜工位1阻挡_伸,DI,Normal,1,,
5,19,35,L1撕膜工位1阻挡_缩,DI,Normal,1,,
5,20,36,L1撕膜工位1顶升检测1,DI,Normal,1,,
5,21,37,L1撕膜工位1顶升检测2 ,DI,Normal,1,,
5,22,38,L1撕膜工位1顶升_伸,DI,Normal,1,,
5,23,39,L1撕膜工位1顶升_缩,DI,Normal,1,,
5,24,40,L1撕膜工位2阻挡检测,DI,Normal,1,,
5,25,41,L1撕膜工位2阻挡_伸,DI,Normal,1,,
5,26,42,L1撕膜工位2阻挡_缩,DI,Normal,1,,
5,27,43,L1撕膜工位2顶升检测1,DI,Normal,1,,
5,28,44,L1撕膜工位2顶升检测2,DI,Normal,1,,
5,29,45,L1撕膜工位2顶升_伸,DI,Normal,1,,
5,30,46,L1撕膜工位2顶升_缩,DI,Normal,1,,
5,31,47,L1出口检测,DI,Normal,1,,
5,32,48,L2入口检测,DI,Normal,1,,
5,33,49,L2待料检测,DI,Normal,1,,
5,34,50,L2待料阻挡1_伸,DI,Normal,1,,
5,35,51,L2待料阻挡1_缩,DI,Normal,7,,
5,36,52,L2撕膜工位1阻挡检测,DI,Normal,7,,
5,37,53,L2撕膜工位1阻挡_伸,DI,Normal,7,,
5,38,54,L2撕膜工位1阻挡_缩,DI,Normal,7,,
5,39,55,L2撕膜工位1顶升检测1,DI,Normal,7,,
5,40,56,L2撕膜工位1顶升检测2,DI,Normal,7,,
5,41,57,L2撕膜工位1顶升_伸,DI,Normal,7,,
5,42,58,L2撕膜工位1顶升_缩,DI,Normal,7,,
5,43,59,L2撕膜工位2阻挡检测,DI,Normal,7,,
5,44,60,L2撕膜工位2阻挡_伸,DI,Normal,7,,
5,45,61,L2撕膜工位2阻挡_缩,DI,Normal,0,,
5,46,62,L2撕膜工位2顶升检测1,DI,Normal,0,,
5,47,63,L2撕膜工位2顶升检测2,DI,Normal,0,,
5,48,64,L2撕膜工位2顶升_伸,DI,Normal,0,,
5,49,65,L2撕膜工位2顶升_缩,DI,Normal,0,,
5,50,66,L2出口检测,DI,Normal,0,,
5,51,67,输入备用4,DI,Normal,0,,
5,52,68,卷膜气缸1_伸,DI,Normal,0,,
5,53,69,卷膜气缸1_缩,DI,Normal,0,,
5,54,70,卷膜编码1,DI,Normal,7,,
5,55,71,卷膜1缺料,DI,Normal,7,,
5,56,72,卷膜气缸2_伸,DI,Normal,7,,
5,57,73,卷膜气缸2_缩,DI,Normal,7,,
5,58,74,卷膜编码2,DI,Normal,7,,
5,59,75,卷膜2缺料,DI,Normal,7,,
5,60,76,正许进料1 ,DI,Normal,7,,
5,61,77,正许出料1,DI,Normal,7,,
5,62,78,正许进料2,DI,Normal,7,,
5,63,79,正许出料2,DI,Normal,0,,
5,0,16,运行指示,DO,StartLight,0,,
5,1,17,复位指示,DO,RestLight,0,,
5,2,18,停止指示,DO,StopLight,0,,
5,3,19,输入备用1,DO,Normal,0,,
5,4,20,输入备用2,DO,Normal,0,,
5,5,21,输入备用3,DO,Normal,0,,
5,6,22,输入备用4,DO,Normal,0,,
5,7,23,输入备用5,DO,Normal,0,,
5,8,24,蜂鸣器,DO,Buzzer,1,,
5,9,25,红灯,DO,Red,1,,
5,10,26,黄灯,DO,Yellow,1,,
